"species","n_fruits"
"Pine",4
"Oak",9
"Maple",5
"Maple",3
"Oak",3
"Oak",6
"Oak",9
"Maple",7
"Pine",7
"Pine",8
"Pine",6
"Maple",8
"Oak",8
"Maple",4
"Maple",9
"Maple",6
"Maple",5
"Maple",5
"Pine",6
"Maple",3
"Maple",5
"Oak",3
"Oak",5
"Pine",3
"Oak",9
"Oak",9
"Pine",3
"Oak",14
"Pine",4
"Maple",6
"Oak",4
"Pine",6
"Oak",9
"Maple",6
"Oak",7
"Maple",3
"Pine",7
"Pine",4
"Pine",6
"Oak",4
"Maple",8
"Oak",6
"Oak",8
"Oak",6
"Maple",10
"Maple",6
"Oak",4
"Maple",2
"Pine",5
"Oak",9
"Pine",6
"Oak",5
"Oak",5
"Oak",6
"Oak",6
"Maple",4
"Pine",7
"Maple",7
"Oak",3
"Pine",2
"Maple",7
"Maple",5
"Pine",8
"Maple",3
"Maple",3
"Oak",5
"Oak",2
"Maple",7
"Maple",6
"Maple",4
"Oak",3
"Pine",9
"Pine",6
"Pine",2
"Pine",5
"Maple",4
"Oak",8
"Oak",4
"Oak",3
"Maple",9
"Maple",5
"Oak",5
"Oak",7
"Oak",4
"Oak",8
"Oak",7
"Pine",8
"Pine",7
"Oak",2
"Maple",15
"Pine",6
"Oak",7
"Pine",6
"Pine",5
"Maple",8
"Pine",8
"Oak",3
"Pine",5
"Pine",6
"Maple",7
